ItemID: 14484, Value: 300000000
ItemID: 14485, Value: 300000000
ItemID: 11694, Value: 300000000
ItemID: 11695, Value: 300000000
ItemID: 18786, Value: 350000000
ItemID: 16874, Value: 25000000
ItemID: 14892, Value: 200000
ItemID: 14891, Value: 250000
ItemID: 14890, Value: 400000
ItemID: 14889, Value: 500000
ItemID: 14888, Value: 650000
ItemID: 14887, Value: 750000
ItemID: 14886, Value: 1100000
ItemID: 14885, Value: 1400000
ItemID: 14884, Value: 2250000
ItemID: 14883, Value: 2750000
ItemID: 14882, Value: 3250000
ItemID: 14881, Value: 4250000
ItemID: 14880, Value: 4750000
ItemID: 14879, Value: 5250000
ItemID: 14878, Value: 6250000
ItemID: 14877, Value: 8750000
ItemID: 14876, Value: 14000000
ItemID: 8839, Value: 150000000
ItemID: 1249, Value: 150000000
ItemID: 8840, Value: 150000000
ItemID: 8841, Value: 100000000
ItemID: 8842, Value: 100000000
ItemID: 11663, Value: 200000000
ItemID: 11664, Value: 200000000
ItemID: 11665, Value: 200000000
ItemID: 10551, Value: 125000000
ItemID: 10548, Value: 100000000
ItemID: 15441, Value: 8000000
ItemID: 15442, Value: 125000000
ItemID: 15443, Value: 125000000
ItemID: 15444, Value: 125000000
ItemID: 18350, Value: 300000000
ItemID: 18352, Value: 300000000
ItemID: 18355, Value: 300000000
ItemID: 18357, Value: 300000000
ItemID: 11724, Value: 100000000
ItemID: 11725, Value: 100000000
ItemID: 15492, Value: 250000000
ItemID: 11726, Value: 100000000
ItemID: 11727, Value: 100000000
ItemID: 6585, Value: 20000000
ItemID: 6586, Value: 20000000
ItemID: 10663, Value: 25000000
ItemID: 6199, Value: 750000000
ItemID: 18743, Value: 750000000
ItemID: 10664, Value: 25000000
ItemID: 10665, Value: 25000000
ItemID: 10666, Value: 25000000
ItemID: 10667, Value: 25000000
ItemID: 10668, Value: 25000000
ItemID: 10669, Value: 50000000
ItemID: 10670, Value: 50000000
ItemID: 10671, Value: 50000000
ItemID: 10672, Value: 50000000
ItemID: 10673, Value: 50000000
ItemID: 10674, Value: 50000000
ItemID: 9177, Value: 300000000
ItemID: 9178, Value: 300000000
ItemID: 4753, Value: 3000000
ItemID: 4754, Value: 3000000
ItemID: 4755, Value: 3000000
ItemID: 4756, Value: 3000000
ItemID: 4757, Value: 3000000
ItemID: 4758, Value: 3000000
ItemID: 4759, Value: 3000000
ItemID: 4760, Value: 3000000
ItemID: 6570, Value: 50000000
ItemID: 5680, Value: 125000000
ItemID: 5681, Value: 125000000
ItemID: 17273, Value: 100000000
ItemID: 17274, Value: 100000000
ItemID: 15825, Value: 200000000
ItemID: 15018, Value: 25000000
ItemID: 15019, Value: 25000000
ItemID: 15020, Value: 25000000
ItemID: 15020, Value: 25000000
ItemID: 15220, Value: 75000000
ItemID: 15017, Value: 100000000
ItemID: 11732, Value: 2000000
ItemID: 11733, Value: 2000000
ItemID: 6920, Value: 10000000
ItemID: 6921, Value: 10000000
ItemID: 15486, Value: 10000000
ItemID: 15487, Value: 10000000
ItemID: 11283, Value: 50000000
ItemID: 11284, Value: 50000000
ItemID: 11285, Value: 50000000
ItemID: 6889, Value: 10000000
ItemID: 6890, Value: 10000000
ItemID: 4151, Value: 10000000
ItemID: 4152, Value: 10000000
ItemID: 11235, Value: 25000000
ItemID: 11236, Value: 25000000
ItemID: 11718, Value: 20000000
ItemID: 11719, Value: 20000000
ItemID: 11720, Value: 20000000
ItemID: 11721, Value: 20000000
ItemID: 11722, Value: 20000000
ItemID: 8840, Value: 150000000
ItemID: 8839, Value: 150000000
ItemID: 16359, Value: 500000000
ItemID: 16425, Value: 2000000000
ItemID: 16360, Value: 500000000
ItemID: 17361, Value: 1000000000
ItemID: 1050, Value: 10000
ItemID: 1053, Value: 15000
ItemID: 1055, Value: 15000
ItemID: 1057, Value: 15000
ItemID: 7775, Value: 50000
ItemID: 7774, Value: 500000
ItemID: 7776, Value: 100000
ItemID: 10943, Value: 250000
ItemID: 1038, Value: 25000
ItemID: 1040, Value: 25000
ItemID: 1042, Value: 25000
ItemID: 1044, Value: 25000
ItemID: 1046, Value: 25000
ItemID: 1048, Value: 25000
ItemID: 1037, Value: 350000000
ItemID: 1419, Value: 30000
ItemID: 4084, Value: 30000
ItemID: 5607, Value: 20000
ItemID: 13536, Value: 2000000000
ItemID: 13535, Value: 2100000000
ItemID: 13534, Value: 1200000000
ItemID: 13533, Value: 2000000000
ItemID: 13532, Value: 1200000000
ItemID: 13531, Value: 1000000000
ItemID: 15488, Value: 200000000
ItemID: 15489, Value: 200000000
ItemID: 15490, Value: 200000000
ItemID: 15491, Value: 200000000
ItemID: 13263, Value: 200000000
ItemID: 19672, Value: 750000000
ItemID: 19673, Value: 750000000
ItemID: 19674, Value: 750000000
ItemID: 10330, Value: 500000000
ItemID: 10332, Value: 500000000
ItemID: 10334, Value: 500000000
ItemID: 10336, Value: 500000000
ItemID: 10338, Value: 500000000
ItemID: 10340, Value: 500000000
ItemID: 10342, Value: 500000000
ItemID: 10344, Value: 500000000
ItemID: 10346, Value: 500000000
ItemID: 10348, Value: 500000000
ItemID: 10350, Value: 500000000
ItemID: 10352, Value: 500000000
ItemID: 12183, Value: 100000000
ItemID: 13738, Value: 750000000
ItemID: 13739, Value: 750000000
ItemID: 13742, Value: 1000000000
ItemID: 13743, Value: 1000000000
ItemID: 13740, Value: 1250000000
ItemID: 13741, Value: 1250000000
ItemID: 13744, Value: 250000000
ItemID: 13745, Value: 250000000
ItemID: 12530, Value: 1000000
ItemID: 18346, Value: 1000000000
ItemID: 18349, Value: 200000000
ItemID: 18351, Value: 200000000
ItemID: 18353, Value: 200000000
ItemID: 18355, Value: 200000000
ItemID: 18357, Value: 200000000
ItemID: 18359, Value: 200000000
ItemID: 18363, Value: 200000000
ItemID: 18361, Value: 200000000
ItemID: 18335, Value: 50000000
ItemID: 19669, Value: 70000000
ItemID: 4447, Value: 1500000000
ItemID: 11137, Value: 25000000
ItemID: 6735, Value: 500000
ItemID: 6736, Value: 500000
ItemID: 6737, Value: 1000000
ItemID: 6738, Value: 1000000
ItemID: 11696, Value: 100000000
ItemID: 11697, Value: 100000000
ItemID: 11698, Value: 100000000
ItemID: 11699, Value: 100000000
ItemID: 11700, Value: 100000000
ItemID: 11701, Value: 100000000
ItemID: 1052, Value: 2500000
ItemID: 4716, Value: 10000000
ItemID: 4717, Value: 10000000
ItemID: 4718, Value: 10000000
ItemID: 4719, Value: 10000000
ItemID: 4720, Value: 10000000
ItemID: 4721, Value: 10000000
ItemID: 4722, Value: 10000000
ItemID: 4723, Value: 10000000
ItemID: 4724, Value: 3000000
ItemID: 4725, Value: 3000000
ItemID: 4726, Value: 3000000
ItemID: 4727, Value: 3000000
ItemID: 4728, Value: 3000000
ItemID: 4729, Value: 3000000
ItemID: 4730, Value: 3000000
ItemID: 4731, Value: 3000000
ItemID: 4745, Value: 3000000
ItemID: 4746, Value: 3000000
ItemID: 4747, Value: 3000000
ItemID: 4748, Value: 3000000
ItemID: 4749, Value: 3000000
ItemID: 4750, Value: 3000000
ItemID: 4751, Value: 3000000
ItemID: 4752, Value: 3000000
ItemID: 6914, Value: 5000000
ItemID: 6915, Value: 5000000
ItemID: 6731, Value: 500000
ItemID: 6732, Value: 500000
ItemID: 4708, Value: 5000000
ItemID: 4709, Value: 5000000
ItemID: 4710, Value: 5000000
ItemID: 4711, Value: 5000000
ItemID: 4712, Value: 5000000
ItemID: 4713, Value: 5000000
ItemID: 4714, Value: 5000000
ItemID: 4715, Value: 5000000
ItemID: 4732, Value: 5000000
ItemID: 4733, Value: 5000000
ItemID: 4734, Value: 5000000
ItemID: 4735, Value: 5000000
ItemID: 4736, Value: 5000000
ItemID: 4737, Value: 5000000
ItemID: 4738, Value: 5000000
ItemID: 4739, Value: 5000000
ItemID: 2577, Value: 20000000
ItemID: 2578, Value: 20000000
ItemID: 11849, Value: 41000000
ItemID: 11851, Value: 13000000
ItemID: 11847, Value: 21000000
ItemID: 11853, Value: 21000000
ItemID: 11857, Value: 13000000
ItemID: 15126, Value: 10000000
ItemID: 15127, Value: 10000000
ItemID: 15241, Value: 15000000
ItemID: 15242, Value: 15000000
ItemID: 6733, Value: 500000
ItemID: 6734, Value: 500000
ItemID: 13884, Value: 150000000
ItemID: 13885, Value: 150000000
ItemID: 13890, Value: 150000000
ItemID: 13891, Value: 150000000
ItemID: 13896, Value: 125000000
ItemID: 13897, Value: 125000000
ItemID: 13902, Value: 20000000
ItemID: 13903, Value: 20000000
ItemID: 13887, Value: 250000000
ItemID: 13888, Value: 250000000
ItemID: 13893, Value: 250000000
ItemID: 13894, Value: 250000000
ItemID: 13899, Value: 200000000
ItemID: 13900, Value: 200000000
ItemID: 13905, Value: 200000000
ItemID: 13906, Value: 200000000
ItemID: 13858, Value: 25000000
ItemID: 13859, Value: 25000000
ItemID: 1191, Value: 350000000
ItemID: 1192, Value: 350000000
